date_key,date,year,quarter,month,month_name,year_month,year_month_label,day_of_month,day_of_week,day_name,week_of_year,is_weekend
20250114,2025-01-14,2025,1,1,January,202501,2025-01,14,3,Tuesday,3,false
20250115,2025-01-15,2025,1,1,January,202501,2025-01,15,4,Wednesday,3,false
20250116,2025-01-16,2025,1,1,January,202501,2025-01,16,5,Thursday,3,false
20250117,2025-01-17,2025,1,1,January,202501,2025-01,17,6,Friday,3,false
20250118,2025-01-18,2025,1,1,January,202501,2025-01,18,7,Saturday,3,true
20250119,2025-01-19,2025,1,1,January,202501,2025-01,19,1,Sunday,3,true
20250120,2025-01-20,2025,1,1,January,202501,2025-01,20,2,Monday,4,false
20250121,2025-01-21,2025,1,1,January,202501,2025-01,21,3,Tuesday,4,false
20250122,2025-01-22,2025,1,1,January,202501,2025-01,22,4,Wednesday,4,false
20250123,2025-01-23,2025,1,1,January,202501,2025-01,23,5,Thursday,4,false
20250124,2025-01-24,2025,1,1,January,202501,2025-01,24,6,Friday,4,false
20250125,2025-01-25,2025,1,1,January,202501,2025-01,25,7,Saturday,4,true
20250126,2025-01-26,2025,1,1,January,202501,2025-01,26,1,Sunday,4,true
20250127,2025-01-27,2025,1,1,January,202501,2025-01,27,2,Monday,5,false
20250128,2025-01-28,2025,1,1,January,202501,2025-01,28,3,Tuesday,5,false
20250129,2025-01-29,2025,1,1,January,202501,2025-01,29,4,Wednesday,5,false
20250130,2025-01-30,2025,1,1,January,202501,2025-01,30,5,Thursday,5,false
20250131,2025-01-31,2025,1,1,January,202501,2025-01,31,6,Friday,5,false
20250201,2025-02-01,2025,1,2,February,202502,2025-02,1,7,Saturday,5,true
20250202,2025-02-02,2025,1,2,February,202502,2025-02,2,1,Sunday,5,true
20250203,2025-02-03,2025,1,2,February,202502,2025-02,3,2,Monday,6,false
20250204,2025-02-04,2025,1,2,February,202502,2025-02,4,3,Tuesday,6,false
20250205,2025-02-05,2025,1,2,February,202502,2025-02,5,4,Wednesday,6,false
20250206,2025-02-06,2025,1,2,February,202502,2025-02,6,5,Thursday,6,false
20250207,2025-02-07,2025,1,2,February,202502,2025-02,7,6,Friday,6,false
20250208,2025-02-08,2025,1,2,February,202502,2025-02,8,7,Saturday,6,true
20250209,2025-02-09,2025,1,2,February,202502,2025-02,9,1,Sunday,6,true
20250210,2025-02-10,2025,1,2,February,202502,2025-02,10,2,Monday,7,false
20250211,2025-02-11,2025,1,2,February,202502,2025-02,11,3,Tuesday,7,false
20250212,2025-02-12,2025,1,2,February,202502,2025-02,12,4,Wednesday,7,false
20250213,2025-02-13,2025,1,2,February,202502,2025-02,13,5,Thursday,7,false
20250214,2025-02-14,2025,1,2,February,202502,2025-02,14,6,Friday,7,false
20250215,2025-02-15,2025,1,2,February,202502,2025-02,15,7,Saturday,7,true
20250216,2025-02-16,2025,1,2,February,202502,2025-02,16,1,Sunday,7,true
20250217,2025-02-17,2025,1,2,February,202502,2025-02,17,2,Monday,8,false
20250218,2025-02-18,2025,1,2,February,202502,2025-02,18,3,Tuesday,8,false
20250219,2025-02-19,2025,1,2,February,202502,2025-02,19,4,Wednesday,8,false
20250220,2025-02-20,2025,1,2,February,202502,2025-02,20,5,Thursday,8,false
20250221,2025-02-21,2025,1,2,February,202502,2025-02,21,6,Friday,8,false
20250222,2025-02-22,2025,1,2,February,202502,2025-02,22,7,Saturday,8,true
20250223,2025-02-23,2025,1,2,February,202502,2025-02,23,1,Sunday,8,true
20250224,2025-02-24,2025,1,2,February,202502,2025-02,24,2,Monday,9,false
20250225,2025-02-25,2025,1,2,February,202502,2025-02,25,3,Tuesday,9,false
20250226,2025-02-26,2025,1,2,February,202502,2025-02,26,4,Wednesday,9,false
20250227,2025-02-27,2025,1,2,February,202502,2025-02,27,5,Thursday,9,false
20250228,2025-02-28,2025,1,2,February,202502,2025-02,28,6,Friday,9,false
20250301,2025-03-01,2025,1,3,March,202503,2025-03,1,7,Saturday,9,true
20250302,2025-03-02,2025,1,3,March,202503,2025-03,2,1,Sunday,9,true
20250303,2025-03-03,2025,1,3,March,202503,2025-03,3,2,Monday,10,false
20250304,2025-03-04,2025,1,3,March,202503,2025-03,4,3,Tuesday,10,false
20250305,2025-03-05,2025,1,3,March,202503,2025-03,5,4,Wednesday,10,false
20250306,2025-03-06,2025,1,3,March,202503,2025-03,6,5,Thursday,10,false
20250307,2025-03-07,2025,1,3,March,202503,2025-03,7,6,Friday,10,false
20250308,2025-03-08,2025,1,3,March,202503,2025-03,8,7,Saturday,10,true
20250309,2025-03-09,2025,1,3,March,202503,2025-03,9,1,Sunday,10,true
20250310,2025-03-10,2025,1,3,March,202503,2025-03,10,2,Monday,11,false
20250311,2025-03-11,2025,1,3,March,202503,2025-03,11,3,Tuesday,11,false
20250312,2025-03-12,2025,1,3,March,202503,2025-03,12,4,Wednesday,11,false
20250313,2025-03-13,2025,1,3,March,202503,2025-03,13,5,Thursday,11,false
20250314,2025-03-14,2025,1,3,March,202503,2025-03,14,6,Friday,11,false
20250315,2025-03-15,2025,1,3,March,202503,2025-03,15,7,Saturday,11,true
20250316,2025-03-16,2025,1,3,March,202503,2025-03,16,1,Sunday,11,true
20250317,2025-03-17,2025,1,3,March,202503,2025-03,17,2,Monday,12,false
20250318,2025-03-18,2025,1,3,March,202503,2025-03,18,3,Tuesday,12,false
20250319,2025-03-19,2025,1,3,March,202503,2025-03,19,4,Wednesday,12,false
20250320,2025-03-20,2025,1,3,March,202503,2025-03,20,5,Thursday,12,false
20250321,2025-03-21,2025,1,3,March,202503,2025-03,21,6,Friday,12,false
20250322,2025-03-22,2025,1,3,March,202503,2025-03,22,7,Saturday,12,true
20250323,2025-03-23,2025,1,3,March,202503,2025-03,23,1,Sunday,12,true
20250324,2025-03-24,2025,1,3,March,202503,2025-03,24,2,Monday,13,false
20250325,2025-03-25,2025,1,3,March,202503,2025-03,25,3,Tuesday,13,false
20250326,2025-03-26,2025,1,3,March,202503,2025-03,26,4,Wednesday,13,false
20250327,2025-03-27,2025,1,3,March,202503,2025-03,27,5,Thursday,13,false
20250328,2025-03-28,2025,1,3,March,202503,2025-03,28,6,Friday,13,false
20250329,2025-03-29,2025,1,3,March,202503,2025-03,29,7,Saturday,13,true
20250330,2025-03-30,2025,1,3,March,202503,2025-03,30,1,Sunday,13,true
20250331,2025-03-31,2025,1,3,March,202503,2025-03,31,2,Monday,14,false
20250401,2025-04-01,2025,2,4,April,202504,2025-04,1,3,Tuesday,14,false
20250402,2025-04-02,2025,2,4,April,202504,2025-04,2,4,Wednesday,14,false
20250403,2025-04-03,2025,2,4,April,202504,2025-04,3,5,Thursday,14,false
20250404,2025-04-04,2025,2,4,April,202504,2025-04,4,6,Friday,14,false
20250405,2025-04-05,2025,2,4,April,202504,2025-04,5,7,Saturday,14,true
20250406,2025-04-06,2025,2,4,April,202504,2025-04,6,1,Sunday,14,true
20250407,2025-04-07,2025,2,4,April,202504,2025-04,7,2,Monday,15,false
20250408,2025-04-08,2025,2,4,April,202504,2025-04,8,3,Tuesday,15,false
20250409,2025-04-09,2025,2,4,April,202504,2025-04,9,4,Wednesday,15,false
20250410,2025-04-10,2025,2,4,April,202504,2025-04,10,5,Thursday,15,false
20250411,2025-04-11,2025,2,4,April,202504,2025-04,11,6,Friday,15,false
20250412,2025-04-12,2025,2,4,April,202504,2025-04,12,7,Saturday,15,true
20250413,2025-04-13,2025,2,4,April,202504,2025-04,13,1,Sunday,15,true
20250414,2025-04-14,2025,2,4,April,202504,2025-04,14,2,Monday,16,false
20250415,2025-04-15,2025,2,4,April,202504,2025-04,15,3,Tuesday,16,false
20250416,2025-04-16,2025,2,4,April,202504,2025-04,16,4,Wednesday,16,false
20250417,2025-04-17,2025,2,4,April,202504,2025-04,17,5,Thursday,16,false
20250418,2025-04-18,2025,2,4,April,202504,2025-04,18,6,Friday,16,false
20250419,2025-04-19,2025,2,4,April,202504,2025-04,19,7,Saturday,16,true
20250420,2025-04-20,2025,2,4,April,202504,2025-04,20,1,Sunday,16,true
20250421,2025-04-21,2025,2,4,April,202504,2025-04,21,2,Monday,17,false
20250422,2025-04-22,2025,2,4,April,202504,2025-04,22,3,Tuesday,17,false
20250423,2025-04-23,2025,2,4,April,202504,2025-04,23,4,Wednesday,17,false
20250424,2025-04-24,2025,2,4,April,202504,2025-04,24,5,Thursday,17,false
20250425,2025-04-25,2025,2,4,April,202504,2025-04,25,6,Friday,17,false
20250426,2025-04-26,2025,2,4,April,202504,2025-04,26,7,Saturday,17,true
20250427,2025-04-27,2025,2,4,April,202504,2025-04,27,1,Sunday,17,true
20250428,2025-04-28,2025,2,4,April,202504,2025-04,28,2,Monday,18,false
20250429,2025-04-29,2025,2,4,April,202504,2025-04,29,3,Tuesday,18,false
20250430,2025-04-30,2025,2,4,April,202504,2025-04,30,4,Wednesday,18,false
20250501,2025-05-01,2025,2,5,May,202505,2025-05,1,5,Thursday,18,false
20250502,2025-05-02,2025,2,5,May,202505,2025-05,2,6,Friday,18,false
20250503,2025-05-03,2025,2,5,May,202505,2025-05,3,7,Saturday,18,true
20250504,2025-05-04,2025,2,5,May,202505,2025-05,4,1,Sunday,18,true
20250505,2025-05-05,2025,2,5,May,202505,2025-05,5,2,Monday,19,false
20250506,2025-05-06,2025,2,5,May,202505,2025-05,6,3,Tuesday,19,false
20250507,2025-05-07,2025,2,5,May,202505,2025-05,7,4,Wednesday,19,false
20250508,2025-05-08,2025,2,5,May,202505,2025-05,8,5,Thursday,19,false
20250509,2025-05-09,2025,2,5,May,202505,2025-05,9,6,Friday,19,false
20250510,2025-05-10,2025,2,5,May,202505,2025-05,10,7,Saturday,19,true
20250511,2025-05-11,2025,2,5,May,202505,2025-05,11,1,Sunday,19,true
20250512,2025-05-12,2025,2,5,May,202505,2025-05,12,2,Monday,20,false
20250513,2025-05-13,2025,2,5,May,202505,2025-05,13,3,Tuesday,20,false
20250514,2025-05-14,2025,2,5,May,202505,2025-05,14,4,Wednesday,20,false
20250515,2025-05-15,2025,2,5,May,202505,2025-05,15,5,Thursday,20,false
20250516,2025-05-16,2025,2,5,May,202505,2025-05,16,6,Friday,20,false
20250517,2025-05-17,2025,2,5,May,202505,2025-05,17,7,Saturday,20,true
20250518,2025-05-18,2025,2,5,May,202505,2025-05,18,1,Sunday,20,true
20250519,2025-05-19,2025,2,5,May,202505,2025-05,19,2,Monday,21,false
20250520,2025-05-20,2025,2,5,May,202505,2025-05,20,3,Tuesday,21,false
20250521,2025-05-21,2025,2,5,May,202505,2025-05,21,4,Wednesday,21,false
20250522,2025-05-22,2025,2,5,May,202505,2025-05,22,5,Thursday,21,false
20250523,2025-05-23,2025,2,5,May,202505,2025-05,23,6,Friday,21,false
20250524,2025-05-24,2025,2,5,May,202505,2025-05,24,7,Saturday,21,true
20250525,2025-05-25,2025,2,5,May,202505,2025-05,25,1,Sunday,21,true
20250526,2025-05-26,2025,2,5,May,202505,2025-05,26,2,Monday,22,false
20250527,2025-05-27,2025,2,5,May,202505,2025-05,27,3,Tuesday,22,false
20250528,2025-05-28,2025,2,5,May,202505,2025-05,28,4,Wednesday,22,false
20250529,2025-05-29,2025,2,5,May,202505,2025-05,29,5,Thursday,22,false
20250530,2025-05-30,2025,2,5,May,202505,2025-05,30,6,Friday,22,false
20250531,2025-05-31,2025,2,5,May,202505,2025-05,31,7,Saturday,22,true
