product_key,product_id,product_name,category,sub_category,brand,unit_cost,list_price,gross_margin_pct
80,P0080,Kestrel Soft Drinks 840,Beverages,Soft Drinks,Kestrel,5.40,7.69,0.2978
81,P0081,Northwind Chocolate 128,Snacks,Chocolate,Northwind,1.83,3.32,0.4488
82,P0082,Halcyon Paper Goods 837,Home Care,Paper Goods,Halcyon,10.22,13.49,0.2424
83,P0083,Aurora Pasta & Rice 276,Packaged Food,Pasta & Rice,Aurora,5.04,7.74,0.3488
84,P0084,Greenfield Ice Cream 530,Frozen,Ice Cream,Greenfield,9.31,15.91,0.4148
85,P0085,Marlow Coffee & Tea 571,Beverages,Coffee & Tea,Marlow,5.66,7.99,0.2916
86,P0086,Greenfield Skin Care 446,Personal Care,Skin Care,Greenfield,13.29,17.32,0.2327
87,P0087,Vantage Cheese 753,Dairy,Cheese,Vantage,9.53,12.81,0.2560
88,P0088,Kestrel Bath 382,Personal Care,Bath,Kestrel,8.28,12.62,0.3439
89,P0089,Northwind Water 222,Beverages,Water,Northwind,3.95,5.22,0.2433
90,P0090,Aurora Air Care 451,Home Care,Air Care,Aurora,2.77,4.39,0.3690
91,P0091,Pinecrest Butter 465,Dairy,Butter,Pinecrest,6.82,11.34,0.3986
92,P0092,Greenfield Coffee & Tea 450,Beverages,Coffee & Tea,Greenfield,2.60,4.60,0.4348
93,P0093,Silverline Air Care 262,Home Care,Air Care,Silverline,3.37,4.75,0.2905
94,P0094,Vantage Bath 420,Personal Care,Bath,Vantage,2.06,3.08,0.3312
95,P0095,Solera Ice Cream 865,Frozen,Ice Cream,Solera,1.92,3.08,0.3766
96,P0096,Pinecrest Paper Goods 542,Home Care,Paper Goods,Pinecrest,11.07,16.56,0.3315
97,P0097,Pinecrest Nuts 764,Snacks,Nuts,Pinecrest,5.76,7.80,0.2615
98,P0098,Northwind Cleaners 284,Home Care,Cleaners,Northwind,10.00,15.46,0.3532
99,P0099,Pinecrest Breakfast 769,Packaged Food,Breakfast,Pinecrest,5.16,6.64,0.2229
100,P0100,Marlow Chips 258,Snacks,Chips,Marlow,0.92,1.22,0.2459
101,P0101,Halcyon Air Care 914,Home Care,Air Care,Halcyon,7.59,11.82,0.3579
102,P0102,Pinecrest Chips 188,Snacks,Chips,Pinecrest,5.70,8.05,0.2919
103,P0103,Kestrel Chocolate 671,Snacks,Chocolate,Kestrel,1.35,2.33,0.4206
104,P0104,Kestrel Skin Care 500,Personal Care,Skin Care,Kestrel,17.36,27.06,0.3585
105,P0105,Marlow Frozen Veg 298,Frozen,Frozen Veg,Marlow,9.75,13.99,0.3031
106,P0106,Kestrel Water 624,Beverages,Water,Kestrel,3.48,4.87,0.2854
107,P0107,Solera Air Care 391,Home Care,Air Care,Solera,1.86,2.94,0.3673
108,P0108,Solera Skin Care 102,Personal Care,Skin Care,Solera,13.17,20.69,0.3635
109,P0109,Fairmont Canned 522,Packaged Food,Canned,Fairmont,6.61,9.26,0.2862
110,P0110,Northwind Skin Care 280,Personal Care,Skin Care,Northwind,2.41,3.84,0.3724
111,P0111,Silverline Pasta & Rice 556,Packaged Food,Pasta & Rice,Silverline,11.35,15.49,0.2673
112,P0112,Marlow Skin Care 410,Personal Care,Skin Care,Marlow,5.89,10.63,0.4459
113,P0113,Pinecrest Ice Cream 408,Frozen,Ice Cream,Pinecrest,9.06,14.69,0.3833
114,P0114,Solera Skin Care 714,Personal Care,Skin Care,Solera,1.84,2.45,0.2490
115,P0115,Aurora Bath 240,Personal Care,Bath,Aurora,4.73,7.18,0.3412
116,P0116,Solera Detergents 239,Home Care,Detergents,Solera,8.71,12.54,0.3054
117,P0117,Kestrel Oral Care 654,Personal Care,Oral Care,Kestrel,2.04,2.75,0.2582
118,P0118,Halcyon Oral Care 748,Personal Care,Oral Care,Halcyon,7.23,9.82,0.2637
119,P0119,Aurora Soft Drinks 841,Beverages,Soft Drinks,Aurora,3.02,4.60,0.3435
120,P0120,Fairmont Milk 664,Dairy,Milk,Fairmont,7.42,9.52,0.2206
121,P0121,Fairmont Cheese 156,Dairy,Cheese,Fairmont,3.12,4.13,0.2446
122,P0122,Pinecrest Pasta & Rice 562,Packaged Food,Pasta & Rice,Pinecrest,7.72,10.71,0.2792
123,P0123,Blue Harbour Nuts 654,Snacks,Nuts,Blue Harbour,6.50,11.58,0.4387
124,P0124,Greenfield Butter 555,Dairy,Butter,Greenfield,6.33,10.07,0.3714
125,P0125,Vantage Chocolate 647,Snacks,Chocolate,Vantage,9.04,11.62,0.2220
126,P0126,Aurora Frozen Meals 493,Frozen,Frozen Meals,Aurora,7.65,14.15,0.4594
127,P0127,Silverline Breakfast 144,Packaged Food,Breakfast,Silverline,8.12,15.05,0.4605
128,P0128,Marlow Yoghurt 798,Dairy,Yoghurt,Marlow,4.42,6.99,0.3677
129,P0129,Northwind Juices 276,Beverages,Juices,Northwind,5.72,8.69,0.3418
130,P0130,Solera Sauces 738,Packaged Food,Sauces,Solera,9.21,12.88,0.2849
131,P0131,Solera Soft Drinks 833,Beverages,Soft Drinks,Solera,1.47,2.15,0.3163
132,P0132,Solera Cleaners 959,Home Care,Cleaners,Solera,8.38,12.67,0.3386
133,P0133,Vantage Nuts 943,Snacks,Nuts,Vantage,4.33,8.16,0.4694
134,P0134,Kestrel Chocolate 758,Snacks,Chocolate,Kestrel,1.63,2.85,0.4281
135,P0135,Vantage Milk 795,Dairy,Milk,Vantage,1.02,1.35,0.2444
136,P0136,Kestrel Oral Care 628,Personal Care,Oral Care,Kestrel,15.25,27.54,0.4463
137,P0137,Aurora Skin Care 899,Personal Care,Skin Care,Aurora,2.02,2.91,0.3058
138,P0138,Blue Harbour Frozen Meals 609,Frozen,Frozen Meals,Blue Harbour,5.74,9.08,0.3678
139,P0139,Solera Coffee & Tea 318,Beverages,Coffee & Tea,Solera,1.78,2.45,0.2735
140,P0140,Vantage Pasta & Rice 766,Packaged Food,Pasta & Rice,Vantage,7.39,13.40,0.4485
141,P0141,Fairmont Breakfast 696,Packaged Food,Breakfast,Fairmont,7.56,11.26,0.3286
142,P0142,Greenfield Juices 579,Beverages,Juices,Greenfield,2.83,3.80,0.2553
143,P0143,Vantage Juices 797,Beverages,Juices,Vantage,3.18,4.51,0.2949
144,P0144,Fairmont Cheese 514,Dairy,Cheese,Fairmont,2.04,2.67,0.2360
145,P0145,Marlow Coffee & Tea 451,Beverages,Coffee & Tea,Marlow,5.76,8.33,0.3085
146,P0146,Vantage Biscuits 364,Snacks,Biscuits,Vantage,1.42,1.85,0.2324
147,P0147,Halcyon Detergents 119,Home Care,Detergents,Halcyon,6.64,12.25,0.4580
148,P0148,Blue Harbour Coffee & Tea 200,Beverages,Coffee & Tea,Blue Harbour,3.61,5.61,0.3565
149,P0149,Solera Paper Goods 443,Home Care,Paper Goods,Solera,2.60,3.52,0.2614
150,P0150,Solera Pasta & Rice 316,Packaged Food,Pasta & Rice,Solera,10.94,14.93,0.2672
151,P0151,Greenfield Yoghurt 232,Dairy,Yoghurt,Greenfield,6.40,10.06,0.3638
152,P0152,Silverline Cleaners 171,Home Care,Cleaners,Silverline,4.89,7.55,0.3523
153,P0153,Solera Cheese 463,Dairy,Cheese,Solera,1.39,1.95,0.2872
154,P0154,Silverline Butter 254,Dairy,Butter,Silverline,2.61,4.81,0.4574
155,P0155,Kestrel Paper Goods 675,Home Care,Paper Goods,Kestrel,3.16,4.14,0.2367
156,P0156,Vantage Hair Care 260,Personal Care,Hair Care,Vantage,12.27,16.37,0.2505
157,P0157,Blue Harbour Detergents 532,Home Care,Detergents,Blue Harbour,12.50,19.25,0.3506
158,P0158,Solera Soft Drinks 887,Beverages,Soft Drinks,Solera,1.99,2.98,0.3322
159,P0159,Silverline Detergents 352,Home Care,Detergents,Silverline,4.70,6.78,0.3068
160,P0160,Solera Milk 792,Dairy,Milk,Solera,2.28,4.20,0.4571
161,P0161,Silverline Soft Drinks 298,Beverages,Soft Drinks,Silverline,1.64,2.94,0.4422
162,P0162,Blue Harbour Sauces 754,Packaged Food,Sauces,Blue Harbour,3.89,5.73,0.3211
163,P0163,Fairmont Milk 735,Dairy,Milk,Fairmont,3.62,5.80,0.3759
164,P0164,Solera Breakfast 588,Packaged Food,Breakfast,Solera,4.14,7.80,0.4692
165,P0165,Silverline Skin Care 300,Personal Care,Skin Care,Silverline,4.11,5.37,0.2346
166,P0166,Halcyon Cleaners 170,Home Care,Cleaners,Halcyon,5.50,9.65,0.4301
167,P0167,Blue Harbour Biscuits 918,Snacks,Biscuits,Blue Harbour,1.12,1.83,0.3880
168,P0168,Aurora Breakfast 510,Packaged Food,Breakfast,Aurora,5.46,8.76,0.3767
169,P0169,Greenfield Water 169,Beverages,Water,Greenfield,3.58,5.49,0.3479
170,P0170,Fairmont Water 502,Beverages,Water,Fairmont,2.29,3.50,0.3457
171,P0171,Marlow Milk 826,Dairy,Milk,Marlow,5.66,9.59,0.4098
172,P0172,Aurora Juices 547,Beverages,Juices,Aurora,2.79,3.70,0.2459
173,P0173,Blue Harbour Detergents 871,Home Care,Detergents,Blue Harbour,10.48,13.73,0.2367
174,P0174,Pinecrest Juices 405,Beverages,Juices,Pinecrest,3.37,5.18,0.3494
175,P0175,Marlow Chips 373,Snacks,Chips,Marlow,3.03,4.35,0.3034
176,P0176,Aurora Soft Drinks 723,Beverages,Soft Drinks,Aurora,1.97,2.79,0.2939
177,P0177,Silverline Soft Drinks 747,Beverages,Soft Drinks,Silverline,3.51,6.30,0.4429
178,P0178,Marlow Yoghurt 480,Dairy,Yoghurt,Marlow,3.46,5.64,0.3865
179,P0179,Northwind Pasta & Rice 973,Packaged Food,Pasta & Rice,Northwind,10.44,15.59,0.3303
180,P0180,Kestrel Milk 491,Dairy,Milk,Kestrel,3.86,6.68,0.4222
181,P0181,Northwind Chocolate 820,Snacks,Chocolate,Northwind,0.67,1.16,0.4224
182,P0182,Vantage Skin Care 254,Personal Care,Skin Care,Vantage,10.47,16.13,0.3509
183,P0183,Marlow Hair Care 499,Personal Care,Hair Care,Marlow,5.37,9.12,0.4112
184,P0184,Blue Harbour Hair Care 390,Personal Care,Hair Care,Blue Harbour,12.83,18.53,0.3076
185,P0185,Halcyon Chocolate 539,Snacks,Chocolate,Halcyon,2.27,3.75,0.3947
186,P0186,Marlow Soft Drinks 860,Beverages,Soft Drinks,Marlow,1.66,2.82,0.4113
187,P0187,Vantage Sauces 568,Packaged Food,Sauces,Vantage,3.98,5.16,0.2287
188,P0188,Aurora Coffee & Tea 627,Beverages,Coffee & Tea,Aurora,6.14,9.15,0.3290
189,P0189,Blue Harbour Breakfast 209,Packaged Food,Breakfast,Blue Harbour,3.64,4.71,0.2272
190,P0190,Solera Chocolate 249,Snacks,Chocolate,Solera,6.38,11.71,0.4552
191,P0191,Aurora Water 708,Beverages,Water,Aurora,2.24,4.09,0.4523
192,P0192,Solera Oral Care 362,Personal Care,Oral Care,Solera,8.47,16.10,0.4739
193,P0193,Pinecrest Breakfast 236,Packaged Food,Breakfast,Pinecrest,7.02,9.35,0.2492
194,P0194,Greenfield Bath 970,Personal Care,Bath,Greenfield,1.70,2.78,0.3885
195,P0195,Halcyon Butter 631,Dairy,Butter,Halcyon,3.33,4.77,0.3019
196,P0196,Solera Nuts 795,Snacks,Nuts,Solera,2.97,4.37,0.3204
197,P0197,Northwind Skin Care 689,Personal Care,Skin Care,Northwind,19.25,26.70,0.2790
198,P0198,Blue Harbour Air Care 982,Home Care,Air Care,Blue Harbour,7.58,11.62,0.3477
199,P0199,Silverline Pasta & Rice 970,Packaged Food,Pasta & Rice,Silverline,1.59,2.63,0.3954
200,P0200,Halcyon Yoghurt 712,Dairy,Yoghurt,Halcyon,8.90,12.55,0.2908
201,P0201,Pinecrest Hair Care 394,Personal Care,Hair Care,Pinecrest,5.97,9.81,0.3914
202,P0202,Northwind Yoghurt 180,Dairy,Yoghurt,Northwind,5.44,7.60,0.2842
203,P0203,Pinecrest Coffee & Tea 269,Beverages,Coffee & Tea,Pinecrest,5.61,7.38,0.2398
204,P0204,Silverline Water 936,Beverages,Water,Silverline,7.18,9.33,0.2304
205,P0205,Solera Frozen Veg 844,Frozen,Frozen Veg,Solera,10.95,15.75,0.3048
206,P0206,Halcyon Hair Care 486,Personal Care,Hair Care,Halcyon,15.60,27.60,0.4348
207,P0207,Solera Cleaners 555,Home Care,Cleaners,Solera,9.77,13.53,0.2779
208,P0208,Solera Biscuits 782,Snacks,Biscuits,Solera,4.67,8.75,0.4663
209,P0209,Solera Biscuits 250,Snacks,Biscuits,Solera,0.76,1.41,0.4610
210,P0210,Pinecrest Canned 519,Packaged Food,Canned,Pinecrest,7.04,11.61,0.3936
211,P0211,Aurora Frozen Meals 880,Frozen,Frozen Meals,Aurora,7.12,13.01,0.4527
212,P0212,Halcyon Juices 743,Beverages,Juices,Halcyon,3.27,4.62,0.2922
213,P0213,Kestrel Detergents 973,Home Care,Detergents,Kestrel,1.41,2.12,0.3349
214,P0214,Blue Harbour Skin Care 226,Personal Care,Skin Care,Blue Harbour,4.64,6.21,0.2528
215,P0215,Silverline Cheese 906,Dairy,Cheese,Silverline,6.29,8.92,0.2948
216,P0216,Fairmont Ice Cream 652,Frozen,Ice Cream,Fairmont,9.21,14.97,0.3848
217,P0217,Aurora Soft Drinks 582,Beverages,Soft Drinks,Aurora,5.23,9.22,0.4328
218,P0218,Aurora Ice Cream 830,Frozen,Ice Cream,Aurora,4.62,6.89,0.3295
219,P0219,Northwind Milk 669,Dairy,Milk,Northwind,1.44,2.40,0.4000
220,P0220,Solera Skin Care 745,Personal Care,Skin Care,Solera,7.07,9.56,0.2605
-1,UNKNOWN,Unknown Product,Unknown,Unknown,Unknown,,,
