campaign_key,campaign_id,campaign_name,product_key,product_id,product_name,category,brand,start_date,end_date,duration_days,discount_percentage,campaign_cost,campaign_revenue,campaign_units,campaign_gross_profit,baseline_window_days,baseline_daily_revenue,baseline_daily_units,expected_baseline_revenue,expected_baseline_units,incremental_revenue,incremental_units,incremental_gross_profit,roi,roi_margin_based,uplift_pct,is_profitable
19,C019,Winter Clearance Feb,96,P0096,Pinecrest Paper Goods 542,Home Care,Pinecrest,2025-02-16,2025-03-01,14,20.00,2025.65,11027.72,835,1784.27,28,294.1164,17.8929,4117.63,250.50,6910.09,584.50,439.67,2.4113,-0.7829,167.82,true
20,C020,Weekend Blitz Mar,47,P0047,Pinecrest Butter 767,Dairy,Pinecrest,2025-03-15,2025-03-28,14,20.00,1792.70,3275.16,332,459.80,28,68.3496,5.5714,956.90,78.00,2318.26,254.00,164.34,0.2932,-0.9083,242.27,true
29,C029,Flash Friday Feb,87,P0087,Vantage Cheese 753,Dairy,Vantage,2025-02-25,2025-03-03,7,30.00,3111.07,5727.33,639,-362.34,28,281.5893,22.0357,1971.13,154.25,3756.20,484.75,-863.46,0.2074,-1.2775,190.56,true
30,C030,Loyalty Boost Feb,8,P0008,Silverline Ice Cream 701,Frozen,Silverline,2025-02-13,2025-02-22,10,20.00,2032.59,3006.20,851,504.26,28,89.4550,20.3214,894.55,203.21,2111.65,647.79,207.16,0.0389,-0.8981,236.06,true
2,C002,Republic Day Bonanza Mar,48,P0048,Pinecrest Chocolate 421,Snacks,Pinecrest,2025-03-22,2025-04-18,28,10.00,4058.44,3024.09,977,1089.63,28,43.5775,12.7500,1220.17,357.00,1803.92,620.00,576.32,-0.5555,-0.8580,147.84,false
4,C004,Weekend Blitz Mar,15,P0015,Kestrel Nuts 127,Snacks,Kestrel,2025-03-24,2025-04-20,28,10.00,2236.15,3732.75,586,509.75,28,61.8254,8.7143,1731.11,244.00,2001.64,342.00,120.64,-0.1049,-0.9461,115.63,false
22,C022,Buy More Save More Feb,189,P0189,Blue Harbour Breakfast 209,Packaged Food,Blue Harbour,2025-02-25,2025-03-06,10,20.00,2074.50,3375.31,896,113.87,28,141.3554,30.1429,1413.55,301.43,1961.76,594.57,-202.48,-0.0543,-1.0976,138.78,false
28,C028,Pantry Stock-Up Mar,84,P0084,Greenfield Ice Cream 530,Frozen,Greenfield,2025-03-12,2025-04-08,28,15.00,2213.67,10529.06,779,3276.57,28,143.1518,9.0357,4008.25,253.00,6520.81,526.00,1623.75,1.9457,-0.2665,162.68,true
32,C032,Value Days Mar,130,P0130,Solera Sauces 738,Packaged Food,Solera,2025-03-31,2025-04-13,14,40.00,1759.76,3857.20,499,-738.59,28,105.6632,8.2143,1479.29,115.00,2377.91,384.00,-1158.73,0.3513,-1.6585,160.75,true
36,C036,Weekend Blitz Feb,68,P0068,Vantage Coffee & Tea 562,Beverages,Vantage,2025-02-26,2025-03-07,10,40.00,4063.28,12640.36,8243,1512.31,28,431.7200,169.1429,4317.20,1691.43,8323.16,6551.57,-521.46,1.0484,-1.1283,192.79,true
8,C008,Payday Special Jan,59,P0059,Kestrel Air Care 142,Home Care,Kestrel,2025-01-29,2025-02-11,14,15.00,1616.61,6504.80,413,1243.18,28,156.3750,8.4643,2189.25,118.50,4315.55,294.50,563.62,1.6695,-0.6514,197.12,true
21,C021,Family Pack Deal Apr,160,P0160,Solera Milk 792,Dairy,Solera,2025-04-08,2025-04-28,21,35.00,2190.14,1567.22,574,258.50,28,22.2396,5.3214,467.03,111.75,1100.19,462.25,46.26,-0.4977,-0.9789,235.57,false
24,C024,Payday Special Mar,207,P0207,Solera Cleaners 555,Home Care,Solera,2025-03-02,2025-03-15,14,40.00,3034.23,15041.15,1851,-3043.12,28,326.1254,24.1786,4565.76,338.50,10475.39,1512.50,-4301.73,2.4524,-2.4177,229.43,true
35,C035,Winter Clearance Mar,85,P0085,Marlow Coffee & Tea 571,Beverages,Marlow,2025-03-19,2025-03-28,10,25.00,1798.34,1826.51,305,100.21,28,40.1779,5.0714,401.78,50.71,1424.73,254.29,-14.53,-0.2078,-1.0081,354.60,false
